Source Name,Site Name,Type of equipment,Type of Equipment Leak (L),Type of Pneumatic Controller (PC) (for cases where all PCs at site are either intermittent or low bleed),Mean of HighFlow measurements (scfm),Fraction of carbon in methane,Methane mole %,Mean methane (scfm),Whole gas (scfm)
PC-1,AP-1,PC,,low,0.044,0.962,9.7620E+01,0.042,0.043
PC-26,AP-2,PC,,,0.006,0.949,9.6962E+01,0.006,0.006
PC-27,AP-2,PC,,,0.078,0.949,9.6962E+01,0.074,0.076
PC-28,AP-2,PC,,,0.059,0.949,9.6962E+01,0.056,0.058
L-54,AP-3,L,Temperature Controller V3H,,0.010,0.957,9.7561E+01,0.010,0.010
PC-66,AP-3,PC,,low,0.056,0.957,9.7561E+01,0.054,0.055
PC-67,AP-3,PC,,low,0.091,0.957,9.7561E+01,0.087,0.089
PC-68,AP-3,PC,,low,0.032,0.957,9.7561E+01,0.031,0.031
PC-69,AP-3,PC,,low,0.088,0.957,9.7561E+01,0.084,0.086
PC-70,AP-3,PC,,low,0.106,0.957,9.7561E+01,0.101,0.104
L-78,AP-4,L,Back pressure regulator Separator 4,,0.039,0.969,9.8181E+01,0.038,0.039
L-79,AP-4,L,Back pressure regulator Separator 2,,0.120,0.969,9.8181E+01,0.116,0.118
PC-100,AP-4,PC,,,0.014,0.969,9.8181E+01,0.014,0.014
PC-101,AP-4,PC,,,0.134,0.969,9.8181E+01,0.130,0.132
PC-102,AP-4,PC,,,0.000,0.969,9.8181E+01,0.000,0.000
PC-103,AP-4,PC,,,0.000,0.969,9.8181E+01,0.000,0.000
L-96,AP-5,L,Well 6 surface casing vent,,0.035,0.955,9.7570E+01,0.033,0.034
L-97,AP-5,L,Well 4 surface casing vent,,0.056,0.955,9.7570E+01,0.053,0.055
L-98,AP-5,L,Lower temperature controller on separator,,0.000,0.955,9.7570E+01,0.000,0.000
PC-127,AP-5,PC,,low,0.009,0.955,9.7570E+01,0.009,0.009
PC-128,AP-6,PC,,int,0.015,0.954,9.7390E+01,0.014,0.015
T-11,AP-7,T,,,0.235,0.955,9.6980E+01,0.224,0.231
PC-129,AP-8,PC,,,0.267,0.576,7.6772E+01,0.154,0.200
PC-130,AP-8,PC,,,0.009,0.576,7.6772E+01,0.005,0.007
L-100,AP-9,L,Vent on separator 4H,,0.543,0.969,9.8197E+01,0.526,0.536
L-99,AP-9,L,Vent on separator 5H,,1.240,0.969,9.8197E+01,1.201,1.223
PC-131,AP-9,PC,,,0.188,0.969,9.8197E+01,0.182,0.185
PC-132,AP-9,PC,,,0.028,0.969,9.8197E+01,0.027,0.028
PC-133,AP-9,PC,,,0.289,0.969,9.8197E+01,0.280,0.285
L-1,AP-10,L,Back pressure regulator Separator 5,,0.161,0.968,9.8089E+01,0.156,0.159
L-2,AP-10,L,Back pressure regulator Separator 5 outside,,0.000,0.968,9.8089E+01,0.000,0.000
L-3,AP-10,L,Back pressure regulator Separator 4 outside,,0.035,0.968,9.8089E+01,0.034,0.035
L-4,AP-10,L,Valve on well head 1H,,1.066,0.968,9.8089E+01,1.032,1.052
PC-2,AP-10,PC,,,0.054,0.968,9.8089E+01,0.052,0.053
PC-3,AP-10,PC,,,0.528,0.968,9.8089E+01,0.511,0.521
PC-4,AP-10,PC,,,0.116,0.968,9.8089E+01,0.112,0.114
PC-5,AP-10,PC,,,0.342,0.968,9.8089E+01,0.331,0.337
L-5,AP-11,L,Upper temperature controller on separator,,0.000,0.960,9.7748E+01,0.000,0.000
PC-6,AP-11,PC,,low,0.012,0.960,9.7748E+01,0.012,0.012
PC-7,AP-11,PC,,low,0.014,0.960,9.7748E+01,0.013,0.014
L-6,AP-12,L,vent at well head,,0.086,0.938,9.6520E+01,0.081,0.084
L-7,AP-12,L,Motor Vent on Top of EPV separator,,0.219,0.938,9.6520E+01,0.205,0.213
PC-8,AP-12,PC,,,0.012,0.938,9.6520E+01,0.011,0.012
PC-10,AP-13,PC,,int,0.346,0.957,9.7580E+01,0.331,0.339
PC-9,AP-13,PC,,int,0.484,0.957,9.7580E+01,0.463,0.475
PC-11,AP-14,PC,,,0.035,0.946,9.6936E+01,0.033,0.034
PC-12,AP-14,PC,,,0.013,0.946,9.6936E+01,0.012,0.013
PC-13,AP-14,PC,,,0.085,0.946,9.6936E+01,0.080,0.083
PC-14,AP-14,PC,,,0.068,0.946,9.6936E+01,0.064,0.066
PC-15,AP-14,PC,,,0.019,0.946,9.6936E+01,0.018,0.019
PC-16,AP-14,PC,,,0.028,0.946,9.6936E+01,0.026,0.027
T-1,AP-14,T,,,0.040,0.946,9.6936E+01,0.038,0.039
PC-17,AP-15,PC,,,0.000,0.972,9.8417E+01,0.000,0.000
PC-18,AP-15,PC,,,0.000,0.972,9.8417E+01,0.000,0.000
PC-19,AP-16,PC,,,0.029,0.942,9.6726E+01,0.027,0.028
L-8,AP-17,L,Vent on Separator 1H,,0.886,0.963,9.7799E+01,0.853,0.873
PC-20,AP-17,PC,,,0.324,0.963,9.7799E+01,0.312,0.319
PC-21,AP-17,PC,,,0.002,0.963,9.7799E+01,0.002,0.002
L-10,AP-18,L,Tubing hanger well head 3H,,0.082,0.947,9.7014E+01,0.078,0.080
L-11,AP-18,L,Tubing hanger well head 3H,,0.026,0.947,9.7014E+01,0.025,0.025
L-12,AP-18,L,Tubing hanger well head 4H,,0.051,0.947,9.7014E+01,0.048,0.050
L-13,AP-18,L,Tubing hanger well head 4H,,0.076,0.947,9.7014E+01,0.072,0.074
L-9,AP-18,L,Cyclic Annulus Well head 2H,,0.050,0.947,9.7014E+01,0.047,0.049
PC-22,AP-18,PC,,,0.020,0.947,9.7014E+01,0.019,0.020
L-14,AP-19,L,vent on back of separator 2HB,,0.102,0.950,9.7221E+01,0.097,0.100
PC-23,AP-19,PC,,,0.154,0.950,9.7221E+01,0.146,0.151
PC-24,AP-19,PC,,,0.135,0.950,9.7221E+01,0.128,0.132
PC-25,AP-19,PC,,,0.013,0.950,9.7221E+01,0.012,0.013
PC-29,AP-20,PC,,,0.000,0.970,9.8081E+01,0.000,0.000
L-15,AP-21,L,Upper temperature controller on separator,,0.006,0.953,9.7402E+01,0.006,0.006
L-16,AP-21,L,Lower temperature controller on separator,,0.005,0.953,9.7402E+01,0.005,0.005
L-17,AP-21,L,Knockout/Regulator,,0.000,0.953,9.7402E+01,0.000,0.000
L-18,AP-21,L,Surface Casing Vent,,0.152,0.953,9.7402E+01,0.145,0.149
PC-30,AP-22,PC,,int,0.149,0.957,9.7580E+01,0.143,0.146
PC-31,AP-22,PC,,int,0.011,0.957,9.7580E+01,0.011,0.011
PC-32,AP-22,PC,,int,0.101,0.957,9.7580E+01,0.097,0.099
PC-33,AP-22,PC,,int,0.051,0.957,9.7580E+01,0.049,0.050
T-2,AP-22,T,,,0.033,0.957,9.7580E+01,0.032,0.032
L-19,AP-23,L,Vent back of separator 2,,0.061,0.958,9.7581E+01,0.058,0.060
L-20,AP-23,L,Vent back of separator 1,,0.051,0.958,9.7581E+01,0.049,0.050
L-21,AP-23,L,Regulator on Separator 3,,0.000,0.958,9.7581E+01,0.000,0.000
L-22,AP-23,L,Vent front of separator 3,,0.072,0.958,9.7581E+01,0.069,0.071
L-23,AP-23,L,Vent front of separator 4,,0.017,0.958,9.7581E+01,0.016,0.017
L-24,AP-23,L,Vent front of separator 6,,0.000,0.958,9.7581E+01,0.000,0.000
L-25,AP-23,L,Casing annulus on well head 2H,,0.031,0.958,9.7581E+01,0.030,0.030
L-26,AP-23,L,Casing annulus on well head 1H,,0.104,0.958,9.7581E+01,0.100,0.102
L-27,AP-23,L,Casing annulus on well head 3,,0.060,0.958,9.7581E+01,0.057,0.059
L-28,AP-23,L,Casing annulus on well head 4,,0.040,0.958,9.7581E+01,0.038,0.039
L-29,AP-23,L,Casing annulus on well head 6,,0.031,0.958,9.7581E+01,0.030,0.030
L-30,AP-23,L,2nd vent for annulus on well head 6,,0.004,0.958,9.7581E+01,0.004,0.004
PC-34,AP-23,PC,,,0.055,0.958,9.7581E+01,0.053,0.054
PC-35,AP-23,PC,,,0.044,0.958,9.7581E+01,0.042,0.043
PC-36,AP-23,PC,,,0.000,0.958,9.7581E+01,0.000,0.000
PC-37,AP-23,PC,,,0.084,0.958,9.7581E+01,0.080,0.082
PC-38,AP-23,PC,,,0.114,0.958,9.7581E+01,0.109,0.112
PC-39,AP-23,PC,,,0.092,0.958,9.7581E+01,0.088,0.090
PC-40,AP-23,PC,,,0.007,0.958,9.7581E+01,0.007,0.007
PC-41,AP-23,PC,,,0.039,0.958,9.7581E+01,0.037,0.038
PC-42,AP-24,PC,,int,0.150,0.955,9.6980E+01,0.143,0.148
PC-43,AP-24,PC,,int,0.017,0.955,9.6980E+01,0.016,0.017
L-31,AP-25,L,Vent on Separator 1H,,4.987,0.966,9.7918E+01,4.817,4.920
L-32,AP-25,L,Vent on Separator 3H,,0.667,0.966,9.7918E+01,0.644,0.658
PC-44,AP-25,PC,,,0.080,0.966,9.7918E+01,0.077,0.079
PC-45,AP-25,PC,,,0.027,0.966,9.7918E+01,0.026,0.027
PC-46,AP-25,PC,,,0.179,0.966,9.7918E+01,0.173,0.177
PC-47,AP-25,PC,,,0.000,0.966,9.7918E+01,0.000,0.000
L-33,AP-26,L,Temperature controller weep hole C2H,,0.005,0.957,9.7561E+01,0.005,0.005
L-34,AP-26,L,Regulator Fitting C2H,,0.014,0.957,9.7561E+01,0.013,0.014
L-35,AP-26,L,Temperature controller weep hole C2H,,0.000,0.957,9.7561E+01,0.000,0.000
L-36,AP-26,L,Temperature controller weep hole C1H,,0.000,0.957,9.7561E+01,0.000,0.000
L-37,AP-26,L,Swagelok fitting Separator C3H,,0.000,0.957,9.7561E+01,0.000,0.000
L-38,AP-26,L,Temperature controller separator C3H,,0.000,0.957,9.7561E+01,0.000,0.000
L-39,AP-26,L,Surface Casing Vent Well #3,,0.016,0.957,9.7561E+01,0.015,0.016
L-40,AP-26,L,Surface Casing Vent Well #1,,0.038,0.957,9.7561E+01,0.036,0.037
PC-48,AP-26,PC,,low,0.081,0.957,9.7561E+01,0.078,0.079
PC-49,AP-26,PC,,low,0.069,0.957,9.7561E+01,0.066,0.068
PC-50,AP-26,PC,,low,0.063,0.957,9.7561E+01,0.060,0.062
PC-51,AP-26,PC,,low,0.054,0.957,9.7561E+01,0.052,0.053
L-41,AP-27,L,Vent Separator 11H,,0.846,0.966,9.8041E+01,0.817,0.834
