Hour in year,Julian Day,DATE (MM/DD/YYYY),HOUR-MST,Avg Avg Wind Speed @ 2m [m/s]
1,0.041666667,1/1/2013,1,1.3589
2,0.083333333,1/1/2013,2,1.0174
3,0.125,1/1/2013,3,1.4143
4,0.166666667,1/1/2013,4,1.0796
5,0.208333333,1/1/2013,5,1.3523
6,0.25,1/1/2013,6,2.2148
7,0.291666667,1/1/2013,7,1.8417
8,0.333333333,1/1/2013,8,0.9235
9,0.375,1/1/2013,9,1.6629
10,0.416666667,1/1/2013,10,0.9513
11,0.458333333,1/1/2013,11,1.7716
12,0.5,1/1/2013,12,2.6851
13,0.541666667,1/1/2013,13,2.4918
14,0.583333333,1/1/2013,14,2.3289
15,0.625,1/1/2013,15,2.1584
16,0.666666667,1/1/2013,16,3.1353
17,0.708333333,1/1/2013,17,5.1875
18,0.75,1/1/2013,18,5.3609
19,0.791666667,1/1/2013,19,5.6845
20,0.833333333,1/1/2013,20,5.532
21,0.875,1/1/2013,21,5.8202
22,0.916666667,1/1/2013,22,4.7209
23,0.958333333,1/1/2013,23,3.1246
24,1,1/2/2013,0,3.3593
25,1.041666667,1/2/2013,1,4.7907
26,1.083333333,1/2/2013,2,4.1703
27,1.125,1/2/2013,3,2.4029
28,1.166666667,1/2/2013,4,4.2571
29,1.208333333,1/2/2013,5,4.3592
30,1.25,1/2/2013,6,4.8227
31,1.291666667,1/2/2013,7,3.0774
32,1.333333333,1/2/2013,8,2.4114
33,1.375,1/2/2013,9,3.3808
34,1.416666667,1/2/2013,10,4.6415
35,1.458333333,1/2/2013,11,3.9429
36,1.5,1/2/2013,12,3.2549
37,1.541666667,1/2/2013,13,2.9505
38,1.583333333,1/2/2013,14,1.7656
39,1.625,1/2/2013,15,2.2738
40,1.666666667,1/2/2013,16,2.3606
41,1.708333333,1/2/2013,17,1.3603
42,1.75,1/2/2013,18,2.3935
43,1.791666667,1/2/2013,19,1.9819
44,1.833333333,1/2/2013,20,1.3865
45,1.875,1/2/2013,21,1.6391
46,1.916666667,1/2/2013,22,3.5524
47,1.958333333,1/2/2013,23,2.0459
48,2,1/3/2013,0,2.291
49,2.041666667,1/3/2013,1,1.8512
50,2.083333333,1/3/2013,2,1.1615
51,2.125,1/3/2013,3,1.4809
52,2.166666667,1/3/2013,4,1.695
53,2.208333333,1/3/2013,5,1.4248
54,2.25,1/3/2013,6,1.5522
55,2.291666667,1/3/2013,7,1.8444
56,2.333333333,1/3/2013,8,1.8754
57,2.375,1/3/2013,9,1.3287
58,2.416666667,1/3/2013,10,2.7038
59,2.458333333,1/3/2013,11,3.2651
60,2.5,1/3/2013,12,3.3869
61,2.541666667,1/3/2013,13,3.613
62,2.583333333,1/3/2013,14,3.106
63,2.625,1/3/2013,15,2.857
