% Average windspeed (mph), Max 2minute windspeed (mph), wind direction,Average wind speed (m/s),Max 2 minute windspeed,Julian Day
% data from http://www.srh.noaa.gov/fwd/climo/climodata.php?file=dfwdec14,,,,,
15.3,31,330,6.83825,13.85527778,1
12.5,31,340,5.586805556,13.85527778,2
12.4,25,170,5.542111111,11.17361111,3
18,29,200,8.045,12.96138889,4
22.1,33,320,9.877472222,14.74916667,5
11.1,23,10,4.961083333,10.27972222,6
13,24,180,5.810277778,10.72666667,7
11.7,22,180,5.22925,9.832777778,8
5.8,12,60,2.592277778,5.363333333,9
9.4,20,330,4.201277778,8.938888889,10
8.5,21,310,3.799027778,9.385833333,11
19.7,36,170,8.804805556,16.09,12
15,26,350,6.704166667,11.62055556,13
12.1,29,350,5.408027778,12.96138889,14
9.4,16,250,4.201277778,7.151111111,15
10.2,22,360,4.558833333,9.832777778,16
10.8,21,360,4.827,9.385833333,17
12.1,23,240,5.408027778,10.27972222,18
8.3,14,180,3.709638889,6.257222222,19
11.6,24,350,5.184555556,10.72666667,20
10.9,24,350,4.871694444,10.72666667,21
8,17,20,3.575555556,7.598055556,22
20.2,30,20,9.028277778,13.40833333,23
9.6,17,210,4.290666667,7.598055556,24
6.5,13,330,2.905138889,5.810277778,25
8.7,17,190,3.888416667,7.598055556,26
22.9,38,20,10.23502778,16.98388889,27
12.1,24,10,5.408027778,10.72666667,28
9.1,20,180,4.067194444,8.938888889,29
20.4,39,190,9.117666667,17.43083333,30
17.1,24,180,7.64275,10.72666667,31
15.2,31,190,6.793555556,13.85527778,32
16.5,28,350,7.374583333,12.51444444,33
7.6,14,110,3.396777778,6.257222222,34
8.6,21,330,3.843722222,9.385833333,35
18.7,29,360,8.357861111,12.96138889,36
11.7,22,360,5.22925,9.832777778,37
5.4,12,150,2.4135,5.363333333,38
9.5,16,160,4.245972222,7.151111111,39
8.6,20,10,3.843722222,8.938888889,40
14.8,22,10,6.614777778,9.832777778,41
11.7,21,20,5.22925,9.385833333,42
8.6,15,330,3.843722222,6.704166667,43
8.1,16,170,3.62025,7.151111111,44
15,33,340,6.704166667,14.74916667,45
8.6,24,190,3.843722222,10.72666667,46
12.8,25,180,5.720888889,11.17361111,47
12.4,25,350,5.542111111,11.17361111,48
9.8,24,230,4.380055556,10.72666667,49
13.7,29,180,6.123138889,12.96138889,50
18.9,32,320,8.44725,14.30222222,51
10.3,20,180,4.603527778,8.938888889,52
15.3,25,190,6.83825,11.17361111,53
12.8,24,20,5.720888889,10.72666667,54
6.3,12,20,2.81575,5.363333333,55
12.6,25,10,5.6315,11.17361111,56
15.1,31,10,6.748861111,13.85527778,57
6.6,17,170,2.949833333,7.598055556,58
14.1,25,180,6.301916667,11.17361111,59
8.5,24,160,3.799027778,10.72666667,60
20.6,31,330,9.207055556,13.85527778,61
13.9,28,330,6.212527778,12.51444444,62
5.3,16,130,2.368805556,7.151111111,63
7.3,21,120,3.262694444,9.385833333,64
9.8,18,10,4.380055556,8.045,65
12.8,26,160,5.720888889,11.62055556,66
13.8,24,330,6.167833333,10.72666667,67
7.3,18,330,3.262694444,8.045,68
9.9,20,170,4.42475,8.938888889,69
17,37,350,7.598055556,16.53694444,70
18.2,36,350,8.134388889,16.09,71
9.4,21,200,4.201277778,9.385833333,72
13.6,31,180,6.078444444,13.85527778,73
8.6,28,280,3.843722222,12.51444444,74
21,36,340,9.385833333,16.09,75
9.6,18,340,4.290666667,8.045,76
20.3,33,340,9.072972222,14.74916667,77
12.1,23,350,5.408027778,10.27972222,78
7.4,15,170,3.307388889,6.704166667,79
14.8,29,190,6.614777778,12.96138889,80
11.8,22,350,5.273944444,9.832777778,81
15.5,30,20,6.927638889,13.40833333,82
4,13,140,1.787777778,5.810277778,83
9.7,23,20,4.335361111,10.27972222,84
16.3,30,180,7.285194444,13.40833333,85
17.9,31,190,8.000305556,13.85527778,86
13.8,25,340,6.167833333,11.17361111,87
8.7,18,360,3.888416667,8.045,88
13.8,26,170,6.167833333,11.62055556,89
18.5,28,180,8.268472222,12.51444444,90
15.3,24,160,6.83825,10.72666667,91
17.3,28,170,7.732138889,12.51444444,92
19.4,35,340,8.670722222,15.64305556,93
12.7,31,340,5.676194444,13.85527778,94
9.2,20,110,4.111888889,8.938888889,95
10.7,21,350,4.782305556,9.385833333,96
8.5,37,330,3.799027778,16.53694444,97
16.1,33,330,7.195805556,14.74916667,98
11.3,23,170,5.050472222,10.27972222,99
21.4,33,190,9.564611111,14.74916667,100
17.3,24,170,7.732138889,10.72666667,101
21.9,33,170,9.788083333,14.74916667,102
20.3,31,190,9.072972222,13.85527778,103
21.7,32,330,9.698694444,14.30222222,104
7.4,15,310,3.307388889,6.704166667,105
16.6,29,170,7.419277778,12.96138889,106
7.2,15,150,3.218,6.704166667,107
4.5,13,20,2.01125,5.810277778,108
7.3,17,150,3.262694444,7.598055556,109
11,24,190,4.916388889,10.72666667,110
8.1,16,180,3.62025,7.151111111,111
6.6,15,30,2.949833333,6.704166667,112
12.5,24,160,5.586805556,10.72666667,113
15.7,26,330,7.017027778,11.62055556,114
9.1,17,130,4.067194444,7.598055556,115
17.3,29,160,7.732138889,12.96138889,116
