Wavenumber (cm^-1),Absorption,,
3125,8.93E-22,,
3124.9,1.13E-21,,
3124.9,1.11E-21,,
3124.8,8.70E-22,,
3124.7,6.58E-22,,
3124.7,6.13E-22,,
3124.6,5.77E-22,,
3124.5,5.49E-22,,
3124.5,6.04E-22,,
3124.4,6.92E-22,,
3124.4,6.93E-22,,
3124.3,6.47E-22,,
3124.2,6.53E-22,,
3124.2,6.71E-22,,
3124.1,7.02E-22,,
3124.1,7.44E-22,,
3124,8.05E-22,,
3123.9,8.79E-22,,
3123.9,9.76E-22,,
3123.8,1.06E-21,,
3123.8,1.16E-21,,
3123.7,1.31E-21,,
3123.6,1.47E-21,,
3123.6,1.61E-21,,
3123.5,1.79E-21,,
3123.5,2.04E-21,,
3123.4,2.35E-21,,
3123.3,2.78E-21,,
3123.3,3.34E-21,,
3123.2,4.11E-21,,
3123.2,5.35E-21,,
3123.1,7.36E-21,,
3123,9.82E-21,,
3123,1.40E-20,,
3122.9,2.37E-20,,
3122.9,5.06E-20,,
3122.8,1.39E-19,,
3122.7,2.08E-19,,
3122.7,1.02E-19,,
3122.6,5.96E-20,,
3122.6,5.77E-20,,
3122.5,9.39E-20,,
3122.4,1.74E-19,,
3122.4,2.18E-19,,
3122.3,2.86E-19,,
3122.3,2.21E-19,,
3122.2,8.28E-20,,
3122.1,3.41E-20,,
3122.1,1.86E-20,,
3122,1.19E-20,,
3122,8.49E-21,,
3121.9,6.41E-21,,
3121.8,5.08E-21,,
3121.8,4.16E-21,,
3121.7,3.48E-21,,
3121.7,2.95E-21,,
3121.6,2.53E-21,,
3121.5,2.24E-21,,
3121.5,1.99E-21,,
3121.4,1.78E-21,,
3121.4,1.65E-21,,
3121.3,1.54E-21,,
3121.2,1.44E-21,,
3121.2,1.45E-21,,
3121.1,1.49E-21,,
3121.1,1.39E-21,,
3121,1.33E-21,,
3120.9,1.34E-21,,
3120.9,1.10E-21,,
3120.8,8.83E-22,,
3120.8,7.86E-22,,
3120.7,7.60E-22,,
3120.6,7.16E-22,,
3120.6,6.72E-22,,
3120.5,6.47E-22,,
3120.5,6.24E-22,,
3120.4,5.91E-22,,
